Feature1 Feature2 Feature3 Feature4 Label
0.533710 0.044689 0.955311 1.420000 1.000000
0.452737 0.018242 0.981758 1.380000 1.000000
0.427340 0.015500 0.984500 1.020000 1.000000
0.493918 0.030686 0.969314 1.220000 1.000000
0.470938 0.040547 0.959453 1.460000 1.000000
0.357323 0.015647 0.984353 1.110001 1.000000
0.465316 0.016853 0.983147 0.670000 1.000000
0.428996 0.028677 0.971323 0.980000 1.000000
0.432832 0.033331 0.966669 1.600000 1.000000
0.447202 0.022471 0.977529 1.010000 1.000000
0.473956 0.034584 0.965416 1.470000 1.000000
0.398956 0.023190 0.976810 0.850000 1.000000
0.448032 0.030896 0.969104 1.130000 1.000000
0.499237 0.039487 0.960513 1.480000 1.000000
0.445929 0.039104 0.960896 1.490000 1.000000
0.507385 0.008231 0.991769 0.490000 1.000000
0.455865 0.019406 0.980594 1.300000 1.000000
0.375321 0.024268 0.975732 1.310000 1.000000
0.485134 0.031461 0.968539 1.620000 1.000000
0.460265 0.025704 0.974296 0.980000 1.000000
0.528207 0.069817 0.930183 1.560000 1.000000
0.452978 0.027512 0.972488 1.280000 1.000000
0.454011 0.028061 0.971939 1.040000 1.000000
0.458989 0.028451 0.971549 1.180000 1.000000
0.418820 0.036135 0.963865 1.300000 1.000000
0.474383 0.027341 0.972659 1.090000 1.000000
0.498799 0.031546 0.968454 1.320000 1.000000
0.388291 0.037517 0.962483 1.200000 1.000000
0.509070 0.030696 0.969304 1.280001 1.000000
0.426467 0.018353 0.981647 1.140000 1.000000
0.516513 0.068466 0.931534 1.770000 1.000000
0.476382 0.030089 0.969911 1.220000 1.000000
0.516515 0.037151 0.962849 0.950000 1.000000
0.506833 0.026762 0.973238 1.100000 1.000000
0.550145 0.037779 0.962221 1.040000 1.000000
0.468228 0.032097 0.967903 1.480000 1.000000
0.440451 0.051565 0.948435 1.630000 1.000000
0.478182 0.054250 0.945750 1.320000 1.000000
0.398979 0.018550 0.981450 0.960000 1.000000
0.367545 0.020152 0.979848 1.110001 1.000000
0.440035 0.040606 0.959394 1.400000 1.000000
0.426816 0.021958 0.978042 1.460001 1.000000
0.470169 0.027367 0.972633 1.220000 1.000000
0.417575 0.026309 0.973691 1.730000 1.000000
0.529562 0.040183 0.959817 1.360000 1.000000
0.488302 0.024508 0.975492 1.320000 1.000000
0.379833 0.014802 0.985198 1.240000 1.000000
0.502471 0.046647 0.953353 1.150000 1.000000
0.505218 0.032907 0.967093 1.250000 1.000000
0.478875 0.023799 0.976201 1.030000 1.000000
0.529016 0.031966 0.968034 1.180000 1.000000
0.480994 0.021957 0.978043 0.849999 1.000000
0.082215 0.005841 0.994159 1.730000 2.000000
0.493242 0.001059 0.998941 1.910000 2.000000
0.031805 0.001913 0.998087 2.480000 2.000000
0.066673 0.004403 0.995597 1.370000 2.000000
0.502697 0.000448 0.999552 2.710000 2.000000
0.058546 0.001703 0.998297 2.230000 2.000000
0.069914 0.004110 0.995890 2.000000 2.000000
0.023151 0.001131 0.998869 2.330000 2.000000
0.270801 0.000582 0.999418 2.370000 2.000000
0.016007 0.000412 0.999588 3.330000 2.000000
0.031933 0.002137 0.997863 2.920000 2.000000
0.087874 0.003337 0.996663 1.460000 2.000000
0.052706 0.002388 0.997612 1.809999 2.000000
0.186370 0.000250 0.999750 3.600000 2.000000
0.026067 0.000611 0.999389 1.450000 2.000000
0.632688 0.001048 0.998952 3.310000 2.000000
0.623672 0.001094 0.998906 1.770000 2.000000
0.258044 0.004445 0.995555 2.760000 2.000000
0.012204 0.000216 0.999784 1.400000 2.000000
0.142621 0.010442 0.989558 1.380000 2.000000
0.583016 0.000598 0.999402 2.740000 2.000000
0.056049 0.003511 0.996489 1.420000 2.000000
0.070949 0.002713 0.997287 1.510000 2.000000
0.066728 0.003649 0.996351 1.320000 2.000000
0.497625 0.001373 0.998627 3.330000 2.000000
0.037858 0.001514 0.998486 1.490000 2.000000
0.428177 0.000480 0.999520 2.560000 2.000000
0.058429 0.003028 0.996972 1.850000 2.000000
0.152715 0.003909 0.996091 2.500000 2.000000
0.519286 0.003054 0.996946 2.300000 2.000000
0.016099 0.000341 0.999659 2.080000 2.000000
0.540799 0.052141 0.947859 1.420000 2.000000
0.180163 0.002226 0.997774 1.970000 2.000000
0.283460 0.002203 0.997797 2.480000 2.000000
0.475409 0.001193 0.998807 2.640000 2.000000
0.189687 0.002053 0.997947 2.900000 2.000000
0.036741 0.001479 0.998521 2.460000 2.000000
0.545530 0.043843 0.956157 1.850000 2.000000
0.115178 0.005209 0.994791 1.470000 2.000000
0.241089 0.007078 0.992922 1.460000 2.000000
0.029800 0.001020 0.998980 2.150000 2.000000
0.113364 0.005464 0.994536 2.210000 2.000000
0.099442 0.004060 0.995940 1.780000 2.000000
0.179467 0.007713 0.992287 1.440000 2.000000
0.020095 0.000297 0.999703 2.480000 2.000000
0.599108 0.001657 0.998343 2.790000 2.000000
0.462623 0.001967 0.998033 2.950000 2.000000
0.070525 0.000060 0.999940 3.330000 2.000000
0.600666 0.001161 0.998839 3.480000 2.000000
0.044542 0.003186 0.996814 2.160000 2.000000
0.446809 0.000271 0.999729 0.870000 2.000000
0.521528 0.000401 0.999599 2.809999 2.000000
0.454981 0.000602 0.999398 3.130000 2.000000
0.053455 0.001528 0.998472 2.510000 2.000000
0.057516 0.002560 0.997440 1.780000 2.000000
0.045329 0.002613 0.997387 1.210000 2.000000
0.200895 0.002081 0.997919 1.690000 2.000000
0.454684 0.000736 0.999264 2.660000 2.000000
0.047257 0.000341 0.999659 2.080000 2.000000
0.031824 0.001003 0.998997 1.850000 2.000000
0.063533 0.002849 0.997151 1.540000 2.000000
0.425497 0.000779 0.999221 2.610000 2.000000
0.120278 0.010703 0.989297 2.550000 2.000000
0.123876 0.009918 0.990082 1.720000 2.000000
0.032814 0.000993 0.999007 2.250000 2.000000
0.144689 0.000329 0.999671 1.810000 2.000000
0.617698 0.001545 0.998455 2.320000 2.000000
0.400502 0.002962 0.997038 2.770000 2.000000
0.082951 0.003470 0.996530 1.470000 2.000000
0.294011 0.032196 0.967804 2.490000 2.000000
0.078850 0.001860 0.998140 2.090000 2.000000
0.059325 0.003135 0.996865 1.540000 2.000000
0.663280 0.025169 0.974831 1.420000 2.000000
0.264971 0.002021 0.997979 2.510000 2.000000
0.035066 0.000823 0.999177 1.500000 2.000000
0.432752 0.004140 0.995860 2.900000 2.000000
0.054904 0.002447 0.997553 1.400000 2.000000
0.058915 0.002991 0.997009 2.640000 2.000000
0.068598 0.002425 0.997575 3.080000 2.000000
0.450932 0.002633 0.997367 2.150000 2.000000
0.521268 0.005661 0.994339 1.210000 2.000000
0.020382 0.000334 0.999666 3.240000 2.000000
0.173616 0.002922 0.997078 1.570000 2.000000
0.031255 0.001561 0.998439 1.650000 2.000000
0.474555 0.001897 0.998103 2.580000 2.000000
0.532371 0.001720 0.998280 2.830000 2.000000
0.415619 0.000666 0.999334 4.180000 2.000000
0.262902 0.017766 0.982234 2.110000 2.000000
0.225228 0.000295 0.999705 3.810000 2.000000
0.306374 0.000264 0.999736 2.860001 2.000000
0.009028 0.000387 0.999613 1.590000 2.000000
0.027165 0.000222 0.999778 1.940000 2.000000
0.145497 0.003486 0.996514 1.450000 2.000000
0.198250 0.005279 0.994721 1.490000 2.000000
0.393766 0.006459 0.993541 1.810000 2.000000
0.006916 0.000254 0.999746 2.620000 2.000000
0.010184 0.000270 0.999730 2.560000 2.000000
0.028903 0.000518 0.999482 2.480000 2.000000
0.146735 0.004729 0.995271 1.420001 2.000000
0.161097 0.003737 0.996263 1.590000 2.000000
0.677803 0.117634 0.882366 10.820000 3.000000
0.146648 0.013147 0.986853 12.570001 3.000000
0.664612 0.072913 0.927087 11.120001 3.000000
0.474943 0.052289 0.947711 10.500000 3.000000
0.828523 0.197837 0.802163 4.440000 3.000000
0.421194 0.012838 0.987162 7.059999 3.000000
0.636602 0.050020 0.949980 10.460000 3.000000
0.304583 0.011437 0.988563 6.940001 3.000000
0.266684 0.005874 0.994126 4.520000 3.000000
0.669201 0.033030 0.966970 6.750000 3.000000
0.414071 0.004128 0.995872 8.549999 3.000000
0.645860 0.005642 0.994358 8.599999 3.000000
0.405950 0.028282 0.971718 11.230000 3.000000
0.277462 0.003445 0.996555 5.940000 3.000000
0.115514 0.010252 0.989748 10.920000 3.000000
0.070459 0.005593 0.994407 9.800000 3.000000
0.606290 0.025318 0.974682 12.560000 3.000000
0.506696 0.017039 0.982961 10.290000 3.000000
0.549829 0.002594 0.997406 11.230000 3.000000
0.228646 0.002977 0.997023 8.860000 3.000000
0.126239 0.006982 0.993018 11.960001 3.000000
0.446321 0.004691 0.995309 8.700000 3.000000
0.286878 0.030113 0.969887 10.179999 3.000000
0.458906 0.042654 0.957346 9.320001 3.000000
0.203144 0.005390 0.994610 13.319999 3.000000
0.358258 0.047994 0.952006 11.110000 3.000000
0.449446 0.058897 0.941103 8.140000 3.000000
0.570332 0.058638 0.941362 12.740000 3.000000
0.385470 0.016234 0.983766 11.160000 3.000000
0.168650 0.006164 0.993836 12.500000 3.000000
0.678139 0.043389 0.956611 13.000000 3.000000
0.080812 0.006248 0.993752 10.690000 3.000000
0.489208 0.003125 0.996875 11.620000 3.000000
0.671004 0.031642 0.968358 10.890000 3.000000
0.257687 0.012260 0.987740 11.250001 3.000000
0.456122 0.015375 0.984625 8.710001 3.000000
0.062748 0.002962 0.997038 12.379999 3.000000
0.120348 0.007038 0.992962 11.820000 3.000000
0.183769 0.014933 0.985067 12.570001 3.000000
0.633461 0.020413 0.979587 9.950000 3.000000
0.185140 0.010733 0.989267 8.340001 3.000000
0.132917 0.004589 0.995411 12.650000 3.000000
0.151760 0.012888 0.987112 11.930000 3.000000
0.466269 0.008190 0.991810 8.980000 3.000000
0.380913 0.007460 0.992540 10.760000 3.000000
0.700727 0.073295 0.926705 12.530000 3.000000
0.328360 0.016316 0.983684 12.430000 3.000000
0.429771 0.004061 0.995939 8.760000 3.000000
0.131440 0.002307 0.997693 10.720000 3.000000
0.675007 0.031284 0.968716 3.230000 3.000000
0.643571 0.006255 0.993745 7.850000 3.000000
0.462316 0.003002 0.996998 10.590000 3.000000
0.644603 0.028882 0.971118 12.600000 3.000000
0.222681 0.008048 0.991952 12.480000 3.000000
0.329006 0.005265 0.994735 4.600000 3.000000
0.581306 0.023603 0.976397 12.810000 3.000000
0.494463 0.031281 0.968719 10.370000 3.000000
0.064140 0.005200 0.994800 10.810000 3.000000
0.206389 0.009426 0.990574 12.910001 3.000000
0.615994 0.073573 0.926427 10.430000 3.000000
0.676670 0.077619 0.922381 10.880000 3.000000
0.605409 0.065054 0.934946 6.590000 3.000000
0.752760 0.074517 0.925483 12.430000 3.000000
0.118444 0.009471 0.990529 11.710000 3.000000
0.261873 0.003187 0.996813 8.480000 3.000000
0.093058 0.006895 0.993105 12.780000 3.000000
0.649963 0.006996 0.993004 8.340000 3.000000
0.666681 0.039790 0.960210 4.430000 3.000000
0.592407 0.066977 0.933023 12.400001 3.000000
0.127908 0.005889 0.994111 10.730000 3.000000
0.353218 0.043031 0.956969 12.550000 3.000000
0.664608 0.042346 0.957654 15.050000 3.000000
0.141597 0.011556 0.988444 16.010000 3.000000
0.132134 0.011336 0.988664 15.680000 3.000000
0.425539 0.008295 0.991705 5.280001 3.000000
0.324128 0.039669 0.960331 12.570001 3.000000
0.532996 0.011856 0.988144 13.870000 3.000000
0.096411 0.007696 0.992304 20.250001 3.000000
0.219258 0.012902 0.987098 11.480000 3.000000
0.777677 0.171972 0.828028 2.150000 3.000000
0.225463 0.018462 0.981538 12.870001 3.000000
0.204189 0.017034 0.982966 13.249999 3.000000
0.440948 0.047141 0.952859 10.850000 3.000000
0.177577 0.011173 0.988827 15.030000 3.000000
0.220498 0.026197 0.973803 17.610001 3.000000
0.400575 0.053431 0.946569 13.750000 3.000000
0.220879 0.016189 0.983811 12.879999 3.000000
0.128889 0.009581 0.990419 20.680000 3.000000
0.368716 0.029665 0.970335 12.170000 3.000000
0.404021 0.050819 0.949181 12.690000 3.000000
0.295265 0.032650 0.967350 13.040000 3.000000
0.880097 0.240657 0.759343 11.520000 3.000000
0.166320 0.008542 0.991458 15.169999 3.000000
0.940042 0.395971 0.604029 4.960000 3.000000
0.307118 0.040477 0.959523 11.050000 3.000000
0.218444 0.011182 0.988818 13.630000 3.000000
0.584165 0.029786 0.970214 3.440000 3.000000
0.516035 0.038164 0.961836 8.320000 3.000000
0.655185 0.040231 0.959769 15.070000 3.000000
0.373039 0.028272 0.971728 10.440000 3.000000
0.458265 0.063796 0.936204 8.180000 4.000000
0.941703 0.409857 0.590143 7.120000 4.000000
0.904068 0.299418 0.700582 4.280000 4.000000
0.931542 0.376142 0.623858 5.410000 4.000000
0.820760 0.237046 0.762954 11.180000 4.000000
0.930542 0.357311 0.642689 4.210001 4.000000
0.975731 0.572752 0.427248 5.940000 4.000000
0.843144 0.235802 0.764198 17.829999 4.000000
0.906122 0.360439 0.639561 10.130000 4.000000
0.961826 0.481545 0.518455 8.350000 4.000000
0.785175 0.107570 0.892430 5.550000 4.000000
0.931092 0.360782 0.639218 11.990000 4.000000
0.834272 0.194830 0.805170 4.610000 4.000000
0.764095 0.184946 0.815054 12.209999 4.000000
0.953518 0.440772 0.559228 4.680000 4.000000
0.974298 0.580443 0.419557 6.180000 4.000000
0.938596 0.431245 0.568755 15.840001 4.000000
0.941150 0.472659 0.527341 12.080000 4.000000
0.441298 0.035918 0.964082 5.640000 4.000000
0.965097 0.499701 0.500299 12.150001 4.000000
0.989133 0.702400 0.297600 7.520000 4.000000
0.953206 0.498063 0.501937 12.780001 4.000000
0.995177 0.777834 0.222166 10.790000 4.000000
0.855329 0.238879 0.761121 13.389999 4.000000
0.988327 0.673594 0.326406 5.320000 4.000000
0.959228 0.465831 0.534169 5.190000 4.000000
0.818076 0.219054 0.780946 5.480000 4.000000
0.893598 0.299300 0.700700 10.350000 4.000000
0.991478 0.715922 0.284078 2.680000 4.000000
0.849802 0.204590 0.795410 10.469999 4.000000
0.916308 0.400884 0.599116 15.309999 4.000000
0.867960 0.268461 0.731539 6.030000 4.000000
0.723706 0.101409 0.898591 19.260000 4.000000
0.742328 0.177205 0.822795 13.480000 4.000000
0.892283 0.356508 0.643492 10.670001 4.000000
0.989570 0.687572 0.312428 8.700000 4.000000
0.909363 0.303733 0.696267 7.210000 4.000000
0.887795 0.351804 0.648196 9.310000 4.000000
0.875289 0.305416 0.694584 3.810000 4.000000
0.989246 0.689848 0.310152 9.390000 4.000000
0.918871 0.397936 0.602064 14.570000 4.000000
0.914271 0.311831 0.688169 9.830000 4.000000
0.931030 0.359105 0.640895 16.189999 4.000000
0.941238 0.399958 0.600042 13.800000 4.000000
0.611833 0.097601 0.902399 23.240001 4.000000
0.922280 0.346037 0.653963 4.780000 4.000000
0.982851 0.618411 0.381589 10.770000 4.000000
0.898275 0.277494 0.722506 3.970000 4.000000
0.996025 0.795287 0.204713 6.070000 4.000000
0.943545 0.445821 0.554179 8.680000 4.000000
0.989533 0.687588 0.312412 15.530001 4.000000
0.887530 0.264704 0.735296 15.550001 4.000000
0.945030 0.410130 0.589870 4.790000 4.000000
0.798563 0.207710 0.792290 9.880000 4.000000
0.956938 0.489957 0.510043 3.890000 4.000000
0.936881 0.389119 0.610881 5.389999 4.000000
0.776117 0.210972 0.789028 10.750000 4.000000
0.900102 0.291639 0.708361 2.620000 4.000000
0.983861 0.630751 0.369249 4.339999 4.000000
0.958850 0.464635 0.535365 4.390000 4.000000
0.831515 0.262957 0.737043 14.060000 4.000000
0.897959 0.312187 0.687813 5.270000 4.000000
0.968282 0.564579 0.435421 4.830000 4.000000
0.945398 0.482904 0.517096 5.340000 4.000000
0.918651 0.398904 0.601096 17.050000 4.000000
0.878476 0.241956 0.758044 7.690000 4.000000
0.984465 0.639691 0.360309 10.490000 4.000000
0.865830 0.296438 0.703562 13.360000 4.000000
0.858849 0.313150 0.686850 5.440000 4.000000
0.926768 0.355187 0.644813 8.450001 4.000000
0.928010 0.358357 0.641643 13.670000 4.000000
0.870750 0.330547 0.669453 14.600001 4.000000
0.802666 0.127624 0.872376 5.760000 4.000000
0.972483 0.580812 0.419188 5.810000 4.000000
0.939117 0.416470 0.583530 12.850000 4.000000
0.964432 0.506387 0.493613 8.460000 4.000000
0.966882 0.505288 0.494712 10.580000 4.000000
0.945247 0.421934 0.578066 8.430000 4.000000
0.843931 0.189554 0.810446 6.230000 4.000000
0.708308 0.064817 0.935183 9.430000 4.000000
0.978896 0.594248 0.405752 6.190000 4.000000
0.923039 0.383405 0.616595 16.820000 4.000000
0.969009 0.562197 0.437803 15.330000 4.000000
0.856536 0.196373 0.803627 5.970000 4.000000
0.989229 0.685934 0.314066 9.560000 4.000000
0.934352 0.434151 0.565849 6.250000 4.000000
0.943217 0.410864 0.589136 11.770000 4.000000
0.572292 0.084732 0.915268 5.550000 4.000000
0.980636 0.610187 0.389813 14.140001 4.000000
0.931304 0.364739 0.635261 5.870000 4.000000
0.950165 0.426424 0.573576 4.420000 4.000000
0.833619 0.281239 0.718761 16.150000 4.000000
0.967298 0.531603 0.468397 9.550000 4.000000
0.953430 0.440676 0.559324 9.670000 4.000000
0.967618 0.517848 0.482152 6.520000 4.000000
0.976076 0.562751 0.437249 7.190000 4.000000
0.969714 0.523226 0.476774 12.440000 4.000000
0.851896 0.280339 0.719661 6.840000 4.000000
0.774942 0.095922 0.904078 11.280000 4.000000
0.963728 0.501519 0.498481 5.470000 4.000000
